Restaurant ID,Restaurant,country,City,Address,Locality,Cuisines,Average Cost for two,Table booking,Online delivery,delivering now,rating,Rating color,Rating text,Votes,Price Range
9100,Moti Sweets,India,New Delhi,"C-5, Main Market, Malviya Nagar, New Delhi",Malviya Nagar,Street Food,100,No,No,No,3.6,Yellow,Good,114,
9290,Wai Yu Mun Ching,India,Gurgaon,"A-215 & 216, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Chinese,800,Yes,Yes,No,3.6,Yellow,Good,321,
9467,The Coffee Bean & Tea Leaf,India,New Delhi,"2nd Floor, Food Court, Select Citywalk Mall, Saket, New Delhi","Select Citywalk Mall, Saket",Cafe,700,No,No,No,3.6,Yellow,Good,127,
9706,Amici Cafe,India,New Delhi,"8, Defence Colony Market, Defence Colony, New Delhi",Defence Colony,italian,1200,Yes,Yes,No,3.6,Yellow,Good,386,
9747,Life Caffe,India,New Delhi,"B-49, The Corus, Inner Circle, Connaught Place, New Delhi",Connaught Place,Fast Food,1500,Yes,No,No,3.6,Yellow,Good,391,
9773,Di Miso,India,Gurgaon,"11, Ground Floor, Global Foyer Mall, Golf Course Road, Gurgaon","Global Foyer Mall, Golf Course Road",Chinese,1500,No,No,No,3.6,Yellow,Good,38,
9852,Kishu Di Hatti Sweets,India,Gurgaon,"53 L, New Colony Market, Sector 7, Gurgaon",Sector 7,Mithai,150,No,No,No,3.6,Yellow,Good,20,
9895,Coffee & Chai Co.,India,Gurgaon,"UG-8, DLF South Point Mall, Golf Course Road, Gurgaon","DLF South Point Mall, Golf Course Road",italian,1100,Yes,Yes,No,3.6,Yellow,Good,296,
9927,Gujarati Samaj Santushti,India,New Delhi,"2, Shri Delhi Gujarati Samaj, Raj Niwas Marg, Civil Lines, New Delhi",Civil Lines,Gujarati,300,No,No,No,3.6,Yellow,Good,95,
15078,Domino's Pizza,India,Ludhiana,"SCF 21, Main Market, Sarabha Nagar, Ludhiana","Main Market, Sarabha Nagar",Fast Food,700,No,No,No,3.6,Yellow,Good,86,
15239,Basant Restaurant,India,Ludhiana,"Urban Estate, Main Market, Phase 1, Dugri, Ludhiana","A Hotel, Gurdev Nagar",Fast Food,800,No,No,No,3.6,Yellow,Good,93,
49486,Tea Villa Cafe,India,Mumbai,"Pardhy House, Opposite Jain Temple, Junction of MG Road and Hanuman Road, Vile Parle East, Mumbai",Vile Parle East,Fast Food,1000,Yes,Yes,No,3.6,Yellow,Good,1515,
110436,MoMo Cafí© - Courtyard By Marriott,India,Ahmedabad,"Courtyard By Marriott, Ramdevnagar Cross Road, Satellite, Ahmedabad","Courtyard By Marriott, Satellite",Indian,1400,No,No,No,3.6,Yellow,Good,375,
300180,LIT Ultrabar,India,Noida,"B-1, 9/10, Near Sector 18 Metro Station, Sector 18, Noida",Sector 18,american,1550,Yes,No,No,3.6,Yellow,Good,425,
300347,Anjlika Pastry Shop,India,New Delhi,"6/78, Ajmal Khan Road, Karol Bagh, New Delhi",Karol Bagh,Fast Food,400,No,No,No,3.6,Yellow,Good,179,
300408,Haldiram's,India,New Delhi,"DLF South Square, Sarojini Nagar, New Delhi","DLF South Square, Sarojini Nagar",Fast Food,300,No,No,No,3.6,Yellow,Good,195,
300527,TBK Kulcha's,India,New Delhi,"296-A, C4B, Near Surajmal College, Janakpuri, New Delhi",Janakpuri,Fast Food,300,No,Yes,No,3.6,Yellow,Good,155,
300595,Anand Restaurant,India,New Delhi,"15/96, Scindia House, Connaught Place, New Delhi",Connaught Place,Indian,550,No,No,No,3.6,Yellow,Good,485,
300642,Cravings By Arshi Dhupia,India,New Delhi,"100, Golf Links, Near, Khan Market, New Delhi",Khan Market,Fast Food,800,No,No,No,3.6,Yellow,Good,29,
300696,Mei Kun - The Leela Ambience Convention Hotel,India,New Delhi,"The Leela Ambience Convention Hotel, Maharaja Surajmal Road, Near Yamuna Sports Complex, Vivek Vihar, New Delhi",The Leela Ambience Convention Hotel,Thai,3500,Yes,No,No,3.6,Yellow,Good,42,
300697,Cherry Bar - The Leela Ambience Convention Hotel,India,New Delhi,"The Leela Ambience Convention Hotel, Maharaja Surajmal Road, Near Yamuna Sports Complex, Vivek Vihar, New Delhi",The Leela Ambience Convention Hotel,Finger Food,2650,Yes,No,No,3.6,Yellow,Good,48,
300815,Cafí© 101,India,New Delhi,"101, Opposite Venkateshwara College, Satyaniketan, New Delhi",Satyaniketan,Indian,600,No,Yes,No,3.6,Yellow,Good,365,
300841,Gaurav Pastry Palace,India,New Delhi,"G-20/224-225, Rohini, New Delhi",Rohini,bakery,250,No,No,No,3.6,Yellow,Good,95,
300907,Happy Hakka,India,Noida,"149, Jaipuria Plaza, Sector 26, Noida","Jaipuria Plaza, Sector 26, Noida",Chinese,650,No,Yes,No,3.6,Yellow,Good,582,
300946,Penta Cafeteria,India,New Delhi,"Shop 6, Block 5, LSC Derawala Nagar, Gujranwala Town, New Delhi",Gujranwala Town,Fast Food,500,No,No,No,3.6,Yellow,Good,95,
300975,Manipur Food Stall,India,New Delhi,"12, Dilli Haat, INA, New Delhi","Dilli Haat, INA",Fast Food,450,No,No,No,3.6,Yellow,Good,72,
301005,Bikanervala Bliss,India,Noida,"Silver Tower, Near Metro Station, Sector 18, Noida",Sector 18,Fast Food,1200,No,No,No,3.6,Yellow,Good,235,
301127,Twist of Italy,India,Faridabad,"92, HUDA Market, Sector 37, Faridabad",Sector 37,Fast Food,350,No,No,No,3.6,Yellow,Good,52,
301287,Shakahari Restaurant,India,New Delhi,"3624/9, Chawri Bazar, New Delhi",Chawri Bazar,Indian,300,No,No,No,3.6,Yellow,Good,185,
301361,Baked Buns,India,New Delhi,"Shop 12, BR Complex, Near Alchon International School, Opposite UNA Enclave, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,Fast Food,500,No,Yes,No,3.6,Yellow,Good,165,
301415,Lawn Bistro,India,Noida,"12, Rajnigandha Market, Sector 15-A, Near Sector 15, Noida",Sector 15,Indian,1500,Yes,Yes,No,3.6,Yellow,Good,328,
301420,Snacks India,India,Noida,"A-78, Sector 2, Noida",Sector 2,Indian,500,No,Yes,No,3.6,Yellow,Good,103,
301722,Dunkin' Donuts,India,New Delhi,"C-6, Main Market, Malviya Nagar, New Delhi",Malviya Nagar,Fast Food,600,No,Yes,No,3.6,Yellow,Good,290,
301793,Old Town Cafe,India,New Delhi,"111, Shahpur Jat, New Delhi",Shahpur Jat,Cafe,800,No,Yes,No,3.6,Yellow,Good,119,
302232,Nandlal Ka Dhaba,India,New Delhi,"4701/2, Ansari Road, Daryaganj, New Delhi",Daryaganj,Indian,500,No,No,No,3.6,Yellow,Good,109,
302239,Pizzoccheri,India,Gurgaon,"Block 4, Unitech Infospace, Opposite IDPL, Old Delhi Gurgaon Road, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon",Fast Food,800,Yes,No,No,3.6,Yellow,Good,76,
302264,Maharashtra Food Stall,India,New Delhi,"Stall 20 & 4, Dilli Haat, INA, New Delhi","Dilli Haat, INA",Maharashtrian,350,No,No,No,3.6,Yellow,Good,93,
302283,The Pastry Shop - Radisson Blu Plaza Delhi,India,New Delhi,"Radisson Blu Plaza Delhi, National Highway 8, Near IGI Airport, Mahipalpur, New Delhi","Radisson Blu Plaza Delhi, Mahipalpur",bakery,1000,No,No,No,3.6,Yellow,Good,26,
302302,Punjabi Dhaba,India,New Delhi,"CSC-5, Near D-3 DDA Market, Behind Veera Jain Hospital, Sector 11, Rohini, New Delhi",Rohini,Indian,200,No,No,No,3.6,Yellow,Good,98,
302310,South Indian Snacks,India,New Delhi,"Near Jantar Mantar Bus Stand, Jantar Mantar Road, Connaught Place, New Delhi",Connaught Place,Indian,300,No,No,No,3.6,Yellow,Good,50,
302503,Charan Singh Kulfi & Kala Khatta,India,New Delhi,"E-20, Main Market, South Extension 2, New Delhi",South Extension 2,Ice Cream,100,No,No,No,3.6,Yellow,Good,29,
302655,Arabian Delites,India,New Delhi,"23, Flyover Market, Defence Colony, New Delhi",Defence Colony,"Lebanese, Arabian",600,No,Yes,No,3.6,Yellow,Good,146,
302936,Ashirbad,India,New Delhi,"Shop 3, Market 3, Chittaranjan Park, New Delhi",Chittaranjan Park,Fast Food,100,No,No,No,3.6,Yellow,Good,46,
302945,Hotel Malabar,India,New Delhi,"37-A, Sarai Juliena, New Friends Colony, New Delhi",New Friends Colony,Biryani,400,No,No,No,3.6,Yellow,Good,129,
303034,Cafe Coffee Day The Square,India,New Delhi,"C-14, Connaught Place, New Delhi",Connaught Place,Cafe,700,No,No,No,3.6,Yellow,Good,361,
303100,Wah! Amritsar,India,Gurgaon,"E-21, Supermart 2, DLF Phase 4, Gurgaon",DLF Phase 4,Indian,750,No,Yes,No,3.6,Yellow,Good,213,
303350,Clay 1 Grill,India,New Delhi,"A-10, 1st Floor, Najafgarh Road, Kirti Nagar, New Delhi",Kirti Nagar,Indian,1000,Yes,No,No,3.6,Yellow,Good,283,
303575,Dunkin' Donuts,India,New Delhi,"1/2, Ground Floor, Opposite Patel Nagar Metro Station, East Patel Nagar, New Delhi",East Patel Nagar,Fast Food,600,No,Yes,No,3.6,Yellow,Good,177,
303723,Cafe Red,India,New Delhi,"5-G, Dada Jungi House, Shahpur Jat, New Delhi",Shahpur Jat,Cafe,1100,Yes,Yes,No,3.6,Yellow,Good,260,
304162,Chowringhee,India,New Delhi,"93, Opposite Venkateswara College, Satyaniketan, New Delhi",Satyaniketan,Indian,600,No,Yes,No,3.6,Yellow,Good,364,
304598,Food Express,India,New Delhi,"G-5, Pankaj Tower, LSC Savita Vihar, Vivek Vihar, New Delhi",Vivek Vihar,Indian,800,No,Yes,No,3.6,Yellow,Good,126,
305072,Game n Grillz,India,Gurgaon,"Near ITM University, Sector 23-A, Sector 23, Gurgaon",Sector 23,Fast Food,850,Yes,No,No,3.6,Yellow,Good,169,
305166,Tibb's Frankie,India,New Delhi,"M-2/A, M Block Market, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,Fast Food,200,No,No,No,3.6,Yellow,Good,66,
305630,Burger Dominion,India,New Delhi,"G-5, Pankaj Plaza, Ground Floor, A Block, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,Fast Food,500,No,Yes,No,3.6,Yellow,Good,251,
305640,Ma Cuisine,India,New Delhi,"Plot 38-A, DDA Flats, Shahpur Jat, New Delhi",Shahpur Jat,Indian,400,No,No,No,3.6,Yellow,Good,43,
305682,Doughlicious,India,Gurgaon,"Global Business Park, Ground Floor, Tower B, MG Road, Gurgaon",MG Road,Fast Food,550,No,Yes,No,3.6,Yellow,Good,69,
305856,Jack 'n' Chill,India,New Delhi,"F-19, 1st Floor, Opposite NDPL Office, Vijay Nagar, New Delhi",Vijay Nagar,american,500,No,No,No,3.6,Yellow,Good,480,
305871,Speedy Chow,India,New Delhi,"9, 1st Floor, Corner Market, Maharishi Dayanand Marg, Malviya Nagar, New Delhi",Malviya Nagar,Chinese,850,No,Yes,No,3.6,Yellow,Good,268,
306015,Standard Sweets,India,New Delhi,"3510, Chawri Bazar, New Delhi",Chawri Bazar,Indian,200,No,No,No,3.6,Yellow,Good,31,
306071,Pakode Ki Dukaan,India,New Delhi,"120-121, Netaji Subhash Market, Ajmal Khan Road, Karol Bagh, New Delhi",Karol Bagh,Street Food,50,No,No,No,3.6,Yellow,Good,35,
306128,Italiano,India,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",italian,1500,Yes,No,No,3.6,Yellow,Good,625,
306131,Red Mango,India,Gurgaon,"K-4B, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Cafe,700,No,Yes,No,3.6,Yellow,Good,365,
306166,Pema's,India,New Delhi,"Shop 3, 3/31, Upper Ground Floor, Shivalik Road, Malviya Nagar, New Delhi",Malviya Nagar,Chinese,700,No,Yes,No,3.6,Yellow,Good,412,
306403,Subway,India,New Delhi,"15A/63, WEA, Karol Bagh, New Delhi",Karol Bagh,Fast Food,500,No,No,No,3.6,Yellow,Good,118,
306526,Tuptakes,India,New Delhi,"84 C, D Block, Bharat Nagar, New Friends Colony, New Delhi",New Friends Colony,bakery,350,No,No,No,3.6,Yellow,Good,52,
306545,Harry's Bar + Cafe,India,New Delhi,"S-4, 2nd Floor, Select Citywalk Mall, Saket, New Delhi","Select Citywalk Mall, Saket",american,1600,Yes,No,No,3.6,Yellow,Good,392,
306636,Deli 63,India,New Delhi,"Shop 3, A-4, Opposite Paschim Vihar East Metro Station, Paschim Vihar, New Delhi",Paschim Vihar,Fast Food,300,No,Yes,No,3.6,Yellow,Good,52,
306841,Bablu Chic Inn,India,New Delhi,"Shop 9, Pocket B, DDA Market, Ashok Vihar Phase 3, New Delhi",Ashok Vihar Phase 3,Indian,750,No,No,No,3.6,Yellow,Good,34,
307006,Sunny Chicken Soup,India,New Delhi,"22/1, Double Storey, Prem Nagar, Jail Road, New Delhi",Jail Road,Indian,200,No,No,No,3.6,Yellow,Good,75,
307223,Sugar Blossoms,India,New Delhi,"132 Meharchand Market, Lodhi Road, Lodhi Colony, New Delhi",Lodhi Colony,bakery,300,No,No,No,3.6,Yellow,Good,58,
307232,Goli Vada Pav No. 1,India,Noida,"120, Ground Floor, Jaipuria Plaza, Sector 26, Noida","Jaipuria Plaza, Sector 26, Noida",Street Food,150,No,Yes,No,3.6,Yellow,Good,280,
307283,Oberoi's,India,New Delhi,"D-166, Shop 3, Near Railway Crossing, Lajpat Nagar 1, New Delhi",Lajpat Nagar 1,Indian,600,No,Yes,No,3.6,Yellow,Good,75,
